,title,author,paragraphs,sentence,prompt
87,偶然作六首,王维,楚国有狂夫，茫然无心想。散发不冠带，行歌南陌上。孔丘与之言，仁义莫能奖。未尝肯问天，何事须击壤。复笑采薇人，胡为乃长往。田舍有老翁，垂白衡门里。有时农事闲，斗酒呼邻里。喧聒茅檐下，或坐或复起。短褐不为薄，园葵固足美。动则长子孙，不曾向城市。五帝与三王，古来称天子。干戈将揖让，毕竟何者是。得意苟为乐，野田安足鄙。且当放怀去，行行没余齿。日夕见太行，沉吟未能去。问君何以然，世网婴我故。小妹日成长，兄弟未有娶。家贫禄既薄，储蓄非有素。几回欲奋飞，踟蹰复相顾。孙登长啸台，松竹有遗处。相去讵几许，故人在中路。爱染日已薄，禅寂日已固。忽乎吾将行，宁俟岁云暮。陶潜任天真，其性颇耽酒。自从弃官来，家贫不能有。九月九日时，菊花空满手。中心窃自思，傥有人送否。白衣携壶觞，果来遗老叟。且喜得斟酌，安问升与斗。奋衣野田中，今日嗟无负。兀傲迷东西，蓑笠不能守。倾倒强行行，酣歌归五柳。生事不曾问，肯愧家中妇。赵女弹箜篌，复能邯郸舞。夫婿轻薄儿，斗鸡事齐主。黄金买歌笑，用钱不复数。许史相经过，高门盈四牡。客舍有儒生，昂藏出邹鲁。读书三十年，腰间无尺组。被服圣人教，一生自穷苦。老来懒赋诗，惟有老相随。宿世谬词客，前身应画师。不能舍余习，偶被世人知。名字本皆是，此心还不知。,孔丘与之言，仁义莫能奖。,"Create an image with a serene background of a traditional Chinese garden. In the foreground, place a delicate cherry blossom tree with pink blossoms on the left side of the image. On the right side, position a small stone bridge over a tranquil pond filled with colorful koi fish. The bridge should be made of gray stone and adorned with intricate carvings. Surrounding the pond, add lush greenery and vibrant flowers in various shades of red, yellow, and purple.

The background should depict a misty mountain range with peaks covered in lush vegetation. The mountains should fade into a soft shade of blue as they recede into the distance. The sky should be a pale, pastel blue with wispy white clouds scattered across it.

Ensure that there are no visible texts or watermarks in the generated image."
88,《寓言二首》,王维,朱绂谁家子，无乃金张孙。骊驹从白马，出入铜龙门。问尔何功德，多承明主恩。斗鸡平乐馆，射雉上林园。曲陌车骑盛，高堂珠翠繁。奈何轩冕贵，不与布衣言。君家御沟上，垂柳夹朱门。列鼎会中贵，鸣珂朝至尊。生死在八议，穷达由一言。须识苦寒士，莫矜狐白温。,骊驹从白马，出入铜龙门。,"Create a serene image with an ancient Chinese style. The picture should depict a white horse, symbolizing purity and grace, standing in front of a majestic bronze dragon gate. The horse should be positioned in the center of the image, its color contrasting against the gate's metallic hue. The dragon gate should be intricately designed, with a weathered appearance, showcasing the craftsmanship of ancient China. The background should be a tranquil scene, with lush greenery and a clear blue sky, evoking a sense of peace and harmony. Ensure that there are no texts or watermarks in the generated image."
89,冬夜书怀,王维,冬宵寒且永，夜漏宫中发。草白霭繁霜，木衰澄清月。丽服映颓颜，朱灯照华发。汉家方尚少，顾影惭朝谒。,草白霭繁霜，木衰澄清月。,"Create a serene image with no text or watermark. The picture should depict a scene inspired by ancient Chinese style. In the foreground, there is a white grass covered in frost, symbolizing purity and tranquility. Adjacent to it, there is a withered tree, representing the passage of time and the cycle of life. The moon shines brightly in the clear sky, casting a gentle glow on the surroundings. The background should be a picturesque landscape, featuring misty mountains, a flowing river, and traditional Chinese architecture. The color palette should consist of soft, muted tones, with hints of blue, gray, and white to evoke a sense of calmness and nostalgia."
90,送康太守,王维,城下沧江水，江边黄鹤楼。朱阑将粉堞，江水映悠悠。铙吹发夏口，使君居上头。郭门隐枫岸，候吏趋芦洲。何异临川郡，还劳康乐侯。,城下沧江水，江边黄鹤楼。,"Create a serene image with an ancient Chinese style. The picture should depict a river flowing beneath a city wall. The river, colored in a calm blue, should be positioned in the foreground, reflecting the surrounding scenery. On the riverbank, there should be a majestic yellow crane tower, standing tall and elegant. The tower should be positioned slightly to the right of the image, with its reflection shimmering in the water. The background should showcase a picturesque landscape, with rolling hills, lush greenery, and a clear blue sky. The scene should evoke a sense of tranquility and nostalgia. Ensure that there are no texts or watermarks in the generated image."
91,送权二,王维,高人不可有，清论复何深。一见如旧识，一言知道心。明时当薄宦，解薜去中林。芳草空隐处，白云余故岑。韩侯久携手，河岳共幽寻。怅别千余里，临堂鸣素琴。,怅别千余里，临堂鸣素琴。,"Generate an image with a serene atmosphere depicting an ancient Chinese scene. The foreground should feature a person sitting in a traditional Chinese room, playing a white qin (a Chinese musical instrument) with a melancholic expression. The qin should be placed on a wooden table adorned with delicate carvings. The room should be decorated with antique furniture and a vase of fresh flowers. The person should be dressed in traditional Chinese clothing, sitting on a cushioned chair. The background should showcase a picturesque landscape with rolling hills, a tranquil river, and a small pavilion nestled among lush trees. The color palette should consist of soft, muted tones, with hints of green, blue, and earthy hues. Ensure that there are no text or watermarks in the generated image."
92,休假还旧业便使,王维,谢病始告归，依依入桑梓。家人皆伫立，相候衡门里。时辈皆长年，成人旧童子。上堂嘉庆毕，顾与姻亲齿。论旧忽余悲，目存且相喜。田园转芜没，但有寒泉水。衰柳日萧条，秋光清邑里。入门乍如客，休骑非便止。中饮顾王程，离忧从此始。,田园转芜没，但有寒泉水。,"Create a serene image with an ancient Chinese style. The picture should depict a tranquil countryside scene with a clear, cold spring. In the foreground, there is a small wooden bridge spanning the spring, painted in a traditional vermilion color. On the bridge, there is a stone lantern, moss-covered and weathered. The lantern emits a soft, warm glow, casting gentle shadows on the surrounding area. In the background, there are lush green fields dotted with blooming wildflowers. The fields stretch towards a distant mountain range, shrouded in mist. The sky is a pale blue, adorned with wispy clouds. Ensure that there are no text or watermarks in the generated image."
93,叹白发,王维,我年一何长，鬓发日已白。俯仰天地间，能为几时客。惆怅故山云，徘徊空日夕。何事与时人，东城复南陌。,惆怅故山云，徘徊空日夕。,"Create a serene image with an ancient Chinese style. The picture should depict a mountain landscape with clouds floating above. The mountains should be painted in shades of green and gray, while the clouds should be soft and white. Position the mountains on the left side of the image, stretching towards the center. The sky should be a light blue color, gradually fading into a pale yellow as it approaches the horizon. In the foreground, include a small river flowing peacefully through the scene, reflecting the colors of the sky. Surround the river with lush green trees and delicate flowers. Ensure that there are no visible texts or watermarks in the generated image."
94,别弟妹二首,王维,两妹日成长，双鬟将及人。已能持宝瑟，自解掩罗巾。念昔别时小，未知疏与亲。今来始离恨，拭泪方殷勤。小弟更孩幼，归来不相识。同居虽渐惯，见人犹未觅。宛作越人语，殊甘水乡食。别此最为难，泪尽有余忆。,两妹日成长，双鬟将及人。,"Generate an image with two young girls in an ancient Chinese setting. The girls should have long black hair, reaching down to their waists. One girl should be positioned on the left side of the image, wearing a vibrant red dress, while the other girl should be on the right side, wearing a delicate pink dress. The background should depict a serene garden with blooming cherry blossom trees, symbolizing the passage of time. The scene should be set during sunset, with warm hues of orange and gold filling the sky. Ensure that there are no watermarks or text in the generated image."
95,哭殷遥,王维,人生能几何，毕竟归无形。念君等为死，万事伤人情。慈母未及葬，一女才十龄。泱漭寒郊外，萧条闻哭声。浮云为苍茫，飞鸟不能鸣。行人何寂寞，白日自凄清。忆昔君在时，问我学无生。劝君苦不早，令君无所成。故人各有赠，又不及生平。负尔非一途，恸哭返柴荆。,泱漭寒郊外，萧条闻哭声。,"Generate an image with a serene and melancholic atmosphere. The picture should depict a vast, desolate landscape in shades of cool blue and gray. In the foreground, place a weeping willow tree with long, drooping branches, its leaves tinged with a hint of silver. Underneath the tree, position a small, stone bridge spanning a tranquil river, its waters reflecting the muted colors of the sky. On the other side of the bridge, include a solitary figure dressed in traditional Chinese attire, standing with their back turned towards the viewer, gazing into the distance. Surrounding the landscape, create a backdrop of mist-covered mountains, fading into the horizon. Ensure that there are no visible texts or watermarks in the generated image."
96,故南阳夫人樊氏挽歌,王维,石窌恩荣重，金吾车骑盛。将朝每赠言，入室还相敬。叠鼓秋城动，悬旌寒日映。不言长不归，环佩犹将听。,叠鼓秋城动，悬旌寒日映。,"Generate an image with no text or watermark. The picture should depict a scene inspired by ancient Chinese style. In the foreground, there are several drums neatly stacked on top of each other. The drums are painted in vibrant colors, such as red, yellow, and green. They are positioned to create a sense of movement and rhythm. In the background, there is a majestic cityscape with towering buildings and traditional Chinese architecture. The buildings are adorned with colorful banners that flutter in the cold autumn breeze. The scene is bathed in the warm glow of the setting sun, casting a golden light on the entire city. The overall color palette should be rich and vibrant, with deep reds, warm yellows, and earthy greens dominating the image."
97,夷门歌,王维,七雄雄雌犹未分，攻城杀将何纷纷。秦兵益围邯郸急，魏王不救平原君。公子为嬴停驷马，执辔愈恭意愈下。亥为屠肆鼓刀人，嬴乃夷门抱关者。非但慷慨献良谋，意气兼将身命酬。向风刎颈送公子，七十老翁何所求。,秦兵益围邯郸急，魏王不救平原君。,"Create an image with a serene background of ancient Chinese style. In the foreground, position a group of Qin soldiers dressed in dark blue armor, surrounding the city of Handan. Their expressions should convey urgency and determination. On the other side, depict the Wei king, adorned in regal attire, standing in front of a palace. His face should reflect a sense of indifference or reluctance. Ensure that there are no texts or watermarks in the generated image. The background should be a picturesque landscape with rolling hills, lush greenery, and a calm river flowing nearby."
98,陇头吟,王维,长安少年游侠客，夜上戍楼看太白。陇头明月迥临关，陇上行人夜吹笛。关西老将不胜愁，驻马听之双泪流。身经大小百余战，麾下偏裨万户侯。苏武才为典属国，节旄落尽海西头。,陇头明月迥临关，陇上行人夜吹笛。,"Generate an image with a serene and ancient Chinese setting. The picture should depict a moonlit night with a clear view of the moon. In the foreground, there should be a traveler playing a flute on a hilltop. The traveler should be dressed in traditional Chinese attire, with a dark-colored robe and a hat. The flute should be wooden and have a soft, warm tone. The traveler should be positioned slightly to the left of the image, with the moon shining brightly behind him. The background should consist of rolling hills and a winding path leading towards a distant ancient Chinese city. The hills should be lush green, and the city should be adorned with traditional Chinese architecture, such as pagodas and curved roofs. The overall color scheme should be warm and earthy, with shades of green, brown, and gold. The image should evoke a sense of tranquility and nostalgia, capturing the emotions of the poem. There should be no text or watermark in the generated image."
99,老将行,王维,少年十五二十时，步行夺得胡马骑。射杀中山白额虎，汉兵奋迅如霹雳，虏骑崩腾畏蒺藜。卫青不败由天幸，昔时飞箭无全目，今日垂杨生左肘。路傍时卖故侯瓜，誓令疏勒出飞泉，不似颍川空使酒。贺兰山下阵如云，试拂铁衣如雪色，聊持宝剑动星文。愿得燕弓射天将，,贺兰山下阵如云，试拂铁衣如雪色，聊持宝剑动星文。,"Generate an image with no text or watermark. The image should depict a scene inspired by ancient Chinese style. In the foreground, there should be a warrior wearing iron armor, the color of snow, holding a precious sword adorned with star patterns. The warrior is standing under the majestic Helan Mountain, where clouds gather like an army. The background should be a serene landscape, painted in traditional Chinese style, with soft hues of green and blue, depicting rolling hills, a tranquil river, and a graceful pavilion. The overall atmosphere should evoke a sense of awe and tranquility."
100,燕支行,王维,汉家天将才且雄，来时谒帝明光宫。万乘亲推双阙下，千官出饯五陵东。誓辞甲第金门里，身作长城玉塞中。卫霍才堪一骑将，朝廷不数贰师功。赵魏燕韩多劲卒，关西侠少何咆勃。报雠只是闻尝胆，饮酒不曾妨刮骨。画戟雕戈百白寒，连旗大旆黄尘没。叠鼓遥翻瀚海波，鸣笳乱动天山月。麒麒锦带佩吴钩，飒沓青骊跃紫骝。拔剑已断天骄臂，归鞍共饮月支头。汉兵大呼一当百，虏骑相看哭且愁。教战虽令赴汤火，终知上将先伐谋。,叠鼓遥翻瀚海波，鸣笳乱动天山月。,"Create a stunning image with no text or watermark. The picture should depict a serene scene inspired by ancient Chinese culture. In the foreground, position a pair of vibrant red drums, symbolizing power and passion. The drums should be placed on a tranquil beach, with the waves of a vast ocean crashing in the background. The color palette should consist of soft, muted tones, reflecting the peacefulness of the setting. The scene should be illuminated by the gentle glow of the moon, casting a serene light on the entire landscape. The architecture and surroundings should be reminiscent of ancient Chinese style, with traditional buildings and lush greenery. Ensure that the image is free from any text or watermark, allowing the viewer to fully immerse themselves in the beauty and emotion of the scene."
101,桃源行,王维,渔舟逐水爱山春，两岸桃花夹去津。坐看红树不知远，遥看一处攒云树，近入千家散花竹。樵客初传汉姓名，月明松下房栊静，日出云中鸡犬喧。惊闻俗客争来集，初因避地去人间，及至成仙遂不还。峡里谁知有人事，出洞无论隔山水，辞家终拟长游衍。自谓经过旧不迷，春来遍是桃花水，不辨仙源何处寻。,渔舟逐水爱山春，两岸桃花夹去津。,"Create a serene image with a Chinese poem. Picture a tranquil river scene with a fishing boat gliding on the water. The boat is painted in a soft shade of blue, gently following the current. On both sides of the river, vibrant pink peach blossoms bloom, forming a picturesque frame around the boat. The background should depict a misty mountain range, painted in shades of green and gray, evoking a sense of ancient Chinese landscapes. Ensure that there are no text or watermarks in the generated image."
102,洛阳女儿行,王维,洛阳女儿对门居，才可容颜十五余。良人玉勒乘骢马，罗帏送上七香车，宝扇迎归九华帐。狂夫富贵在青春，春窗曙灭九微火，九微片片飞花琐。戏罢曾无理曲时，谁怜越女颜如玉，贫贱江头自浣纱。,洛阳女儿对门居，才可容颜十五余。,"Create a serene image with an ancient Chinese style. The picture should depict a young woman, dressed in traditional attire, standing by the door of a house. The woman should have fair skin and long, flowing black hair. The door should be wooden and painted in a deep red color, adorned with intricate carvings. The house should be situated in a peaceful courtyard, surrounded by lush greenery and blooming flowers. The background should feature a tranquil landscape with misty mountains and a calm river flowing nearby. Ensure that there are no texts or watermarks in the generated image."
103,同崔傅答贤弟,王维,洛阳才子姑苏客，桂苑殊非故乡陌。九江枫树几回青，一片扬州五湖白。扬州时有下江兵，兰陵镇前吹笛声。夜火人归富春郭，秋风鹤唳石头城。周郎陆弟为俦侣，对舞前溪歌白纻。曲几书留小史家，草堂棋赌山阴野。衣冠若话外台臣，先数夫君席上珍。更闻台阁求三语，遥想风流第一人。,九江枫树几回青，一片扬州五湖白。,"Generate an image with a serene scene of ancient Chinese style. The picture should depict a landscape with a river flowing through it. In the foreground, there should be several maple trees with vibrant green leaves, symbolizing the changing seasons. The trees should be positioned on the left side of the image, creating a sense of depth. The river should be depicted as calm and clear, reflecting the surrounding scenery. The water should appear white, representing the five lakes of Yangzhou. The background should showcase rolling hills and distant mountains, painted in shades of blue and gray to create a sense of tranquility. The overall color palette should be soft and muted, evoking a sense of nostalgia. Ensure that there are no text or watermarks in the generated image."
104,赠吴官,王维,长安客舍热如煮，无个茗糜难御暑。空摇白团其谛苦，欲向缥囊还归旅。江乡鲭鲊不寄来，秦人汤饼那堪许。不如侬家任挑达，草𪨗捞虾富春渚。,空摇白团其谛苦，欲向缥囊还归旅。,"Generate an image with no text or watermark. The image should depict a serene scene in ancient China. In the center of the image, there is a white lotus flower floating on a calm, reflective pond. Surrounding the pond are lush green trees, their leaves gently swaying in the breeze. In the distance, there is a traditional Chinese pavilion with a curved roof, adorned with intricate carvings and vibrant red accents. The pavilion overlooks a misty mountain range, painted in shades of blue and gray. The sky above is a soft, pale pink, with wisps of clouds scattered across it. The overall atmosphere should evoke a sense of tranquility and contemplation."
105,故人张𬤇工诗善易卜兼能丹青草隶顷以诗见赠聊获酬之,王维,不逐城东游侠儿。隐囊纱帽坐弹棋。蜀中夫子时开卦。洛下书生解咏诗。药阑花径衡门里。时复据梧聊隐几。屏风误点惑孙郎。团扇草书轻内史。故园高枕度三春。永日垂帷绝四邻。自想蔡邕今已老。更将书籍与何人,团扇草书轻内史。故园高枕度三春。,"Generate an image with a Chinese poem theme. The picture should contain a light brown fan with delicate calligraphy, positioned in the center. Surrounding the fan, there should be vibrant cherry blossom trees, blooming with pink flowers. The background should be a serene landscape with a flowing river, a small wooden bridge, and distant mountains. The scene should be in ancient Chinese style, with traditional buildings and pavilions. Ensure that there is no text or watermark in the image."
106,送崔五太守,王维,长安厩吏来到门，朱文露网动行轩。黄花县西九折阪，子午山里杜鹃啼，嘉陵水头行客饭。剑门忽断蜀川开，使君年纪三十余，少年白皙专城居。欲持画省郎官笔，,子午山里杜鹃啼，嘉陵水头行客饭。,"Generate an image with no text or watermark. The image should depict a serene scene in ancient China. In the foreground, there should be a vibrant red rhododendron (杜鹃) perched on a tree branch, symbolizing the beauty of nature. The rhododendron should be positioned slightly off-center, adding a sense of asymmetry to the image. In the background, there should be a flowing river (嘉陵水) surrounded by lush greenery, reflecting the tranquility of the setting. The river should be positioned diagonally across the image, creating a dynamic composition. The overall color palette should be soft and muted, with warm earth tones dominating the scene."
107,寒食城东即事,王维,清溪一道穿桃李，演漾绿蒲涵白芷。溪上人家凡几家，少年分日作遨游，不用清明兼上巳。,清溪一道穿桃李，演漾绿蒲涵白芷。,"Generate an image with a serene scene inspired by ancient Chinese poetry. The picture should depict a clear stream flowing through a picturesque landscape. In the foreground, there are blooming peach and plum trees, their delicate pink and white blossoms adding a touch of color. The stream is surrounded by lush green reeds, gently swaying in the breeze, and fragrant white orchids. The background should showcase rolling hills covered in emerald green grass, with a few ancient-style buildings nestled among the hills. The overall color palette should be soft and muted, with shades of green, pink, and white dominating the scene. Ensure that there are no text or watermarks in the generated image."
108,不遇咏,王维,北阙献书寝不报，南山种田时不登。百人会中身不预，且此登山复临水，莫问春风动杨柳。今人昨人多自私，,莫问春风动杨柳。今人昨人多自私，,"Text Prompt: Generate an image with no text or watermark. The image should depict a serene scene inspired by ancient Chinese style. In the foreground, there should be a pair of willow trees, their branches swaying gently in the spring breeze. The willow trees should be portrayed with vibrant green leaves and positioned on either side of the image, framing the composition. The background should feature a tranquil landscape with rolling hills, a meandering river, and a traditional Chinese pavilion nestled among the scenery. The hills should be painted in soft shades of blue and green, while the river should shimmer in a gentle shade of azure. The pavilion should be adorned with intricate carvings and have a curved, pagoda-style roof, painted in rich red and gold hues. The overall atmosphere of the image should evoke a sense of tranquility and nostalgia, capturing the emotions and feelings described in the poem."
109,赠裴迪,王维,不相见，不相见来久。日日泉水头，常忆同携手。携手本同心，复叹忽分襟。相忆今如此，相思深不深。,日日泉水头，常忆同携手。,"Generate an image with a serene and ancient Chinese style. The picture should depict a clear spring flowing gently. In the foreground, there should be two figures, one male and one female, holding hands and standing by the water's edge. The male figure should be wearing a traditional Chinese robe in a deep blue color, while the female figure should be dressed in a flowing white gown. The background should be a picturesque landscape with lush green mountains, dotted with ancient Chinese-style buildings. The scene should be bathed in warm golden sunlight, creating a peaceful and nostalgic atmosphere. Ensure that there are no text or watermarks in the generated image."
110,青雀歌,王维,青雀翅羽短，未能远食玉山禾。犹胜黄雀争上下，唧唧空仓复若何。,青雀翅羽短，未能远食玉山禾。,"Create a stunning image with an ancient Chinese style. The picture should depict a scene with a short-winged, green sparrow perched on a branch. The sparrow should be positioned towards the center of the image, with its vibrant green feathers standing out against the background. The background should be a serene landscape, featuring rolling hills and a tranquil river. The hills should be adorned with lush, green vegetation, and the river should reflect the soft hues of the sky. The overall color scheme should be warm and earthy, with hints of gold and red. Ensure that there are no watermarks or text in the generated image."
111,黄雀痴,王维,黄雀痴，黄雀痴，谓言青鷇是我儿。一一口衔食，养得成毛衣。到大啁啾解游飏，各自东西南北飞。薄暮空巢上，羁雌独自归。凤凰九雏亦如此，慎莫愁思憔悴损容辉。,薄暮空巢上，羁雌独自归。,"Create an image with a serene atmosphere. In the center, place a lonely bird's nest, delicately woven with twigs and leaves, symbolizing emptiness. The nest should be positioned on a withered tree branch, emphasizing the passing of time. Surround the nest with a soft, warm glow, representing the fading light of dusk. In the background, depict a tranquil landscape with misty mountains, a flowing river, and ancient Chinese architecture. Use muted colors such as shades of blue, green, and gray to evoke a sense of nostalgia. Ensure that there are no visible texts or watermarks in the generated image."
112,新秦郡松树歌,王维,青青山上松，数里不见今更逢。不见君，心相忆，,青青山上松，数里不见今更逢,"Create a serene image with a Chinese poem. Picture a landscape painting with vibrant colors. In the foreground, there is a cluster of green pine trees on a mountain, symbolizing longevity and resilience. The trees are positioned on the left side of the image, reaching towards the sky. On the right side, a winding path leads into the distance, disappearing among the hills. The background should be a picturesque scene with misty mountains, flowing rivers, and ancient Chinese-style buildings. The colors should be soft and muted, with shades of blue, green, and gray. Ensure that there are no texts or watermarks in the generated image."
113,榆林郡歌,王维,山头松柏林，山下泉声伤客心。千里万里春草色，黄河东流流不息。黄龙戍上游侠儿，愁逢汉使不相识,千里万里春草色，黄河东流流不息。,"Generate an image with no text or watermark. The picture should depict a serene scene inspired by ancient Chinese style. In the foreground, there is a vast expanse of vibrant green grass, symbolizing the arrival of spring. The grass stretches for miles, representing the vastness of the landscape. The color of the grass should be a vivid shade of green. In the middle ground, a majestic river, resembling the Yellow River, flows endlessly from west to east. The river should be depicted in a deep shade of blue, reflecting its ancient significance. The background should showcase rolling hills, painted in soft shades of green and brown, creating a sense of tranquility. The scene should be bathed in warm, golden sunlight, evoking a feeling of peace and harmony."
114,问寇校书双溪,王维,君家少室西，为复少室东，别来几日今春风。新买双溪定何似，余生欲寄白云中。,新买双溪定何似，余生欲寄白云中。,"Generate an image with a serene landscape of ancient China. The foreground should depict a pair of flowing rivers, one on each side of the image. The rivers should be painted in a light shade of blue, reflecting the clear sky above. In the middle ground, there should be a small boat floating on one of the rivers, painted in a soft shade of brown. The boat should be empty, symbolizing the poet's desire to leave his earthly troubles behind. The background should showcase rolling hills covered in lush greenery, with a few ancient Chinese-style buildings scattered among the landscape. The buildings should be painted in muted shades of gray and brown, blending harmoniously with the natural surroundings. The scene should be bathed in warm sunlight, casting a gentle glow over the entire image. Ensure that there are no text or watermarks present in the generated image."
115,寄崇梵僧,王维,崇梵僧，崇梵僧，秋归覆釜春不还。落花啼鸟纷纷乱，涧户山窗寂寂闲。峡里谁知有人事，郡中遥望空云山。,落花啼鸟纷纷乱，涧户山窗寂寂闲。,"Create a serene painting with falling cherry blossoms and singing birds. The picture should have a tranquil atmosphere with a mountain view in the background. The falling cherry blossoms should be depicted in shades of pink, gracefully descending from the top of the picture. The birds should be portrayed in various colors, perched on tree branches or flying freely in the sky. The mountain view should be in soft shades of green, with misty clouds surrounding the peaks. Ensure that there are no texts or watermarks in the image."
116,同比部杨员外十五夜游有怀静者季,王维,承明少休沐，建礼省文书。夜漏行人息，归鞍落日余。悬知三五夕，万户千门辟。夜出曙翻归，倾城满南陌。陌头驰骋尽繁华，王孙公子五侯家。由来月明如白日，香车宝马共喧阗，个里多情侠少年。竞向长杨柳市北，傥觉忘怀共往来，幸沾同舍甘藜藿。,陌头驰骋尽繁华，王孙公子五侯家。,"Generate an image with no text or watermark. The picture should depict a vibrant scene from ancient China. In the foreground, there are horses of various colors, galloping on a bustling street. The horses are adorned with colorful saddles and bridles. The background should showcase traditional Chinese architecture, with pagodas and pavilions nestled among lush gardens. The color palette should consist of rich, earthy tones, with hints of red, gold, and green. The overall atmosphere should evoke a sense of grandeur and opulence."
117,答张五弟,王维,终南有茅屋，前对终南山。终年无客常闭关，终日无心长自闲。不妨饮酒复垂钓，君但能来相往还。,终南有茅屋，前对终南山。,"Generate an image with a serene and ancient Chinese style. The picture should depict a thatched cottage, colored in earthy tones, positioned in the foreground. The cottage should face the majestic Zhongnan Mountain, which should be depicted in the background. The mountain should be painted in shades of green and brown, with misty clouds surrounding its peaks. Ensure that the image does not contain any text or watermarks."
118,雪中忆李楫,王维,积雪满阡陌，故人不可期。长安千门复万户，何处躞蹀黄金羁。,积雪满阡陌，故人不可期。长安千门复万户，何处躞蹀黄金羁。,"Generate an image with no text or watermark. The image should depict a snowy landscape with ancient Chinese-style buildings. In the foreground, there should be a path covered in white snow. The path leads to a grand city with numerous golden gates and houses. The gates and houses should be painted in vibrant colors, such as red, green, and blue, to represent the ancient Chinese architectural style. The background should be a serene scene with mountains and trees covered in snow. The overall color scheme should be cool tones, with shades of white, blue, and gray dominating the image."
119,送李睢阳,王维,将置酒，思悲翁。使君去，出城东。麦渐渐，雉子斑。槐阴阴，到潼关。骑连连，车迟迟。心中悲，宋又远。周间之，南淮夷。东齐儿，碎碎织练与素丝，天子当殿俨衣裳，大官尚食陈羽觞。彤庭散绶垂鸣珰，鸾声哕哕鲁侯旗，明年上计朝京师。须忆今日斗酒别，,彤庭散绶垂鸣珰，鸾声哕哕鲁侯旗,"Generate an image with no text or watermark. The image should depict a scene inspired by ancient Chinese style. In the center of the image, there should be a vibrant red courtyard (彤庭) with a hanging silk thread (散绶) and a chiming jade pendant (鸣珰). The courtyard is adorned with traditional Chinese architecture and surrounded by lush greenery. On the left side of the courtyard, a majestic phoenix (鸾) is perched on a branch, emitting a melodious sound (哕哕). On the right side, a flag bearing the emblem of the Duke of Lu (鲁侯旗) is fluttering in the wind. The background of the image should be a serene landscape with rolling hills, a tranquil river, and a clear blue sky. The colors used should be rich and vibrant, with a touch of gold and jade accents to enhance the ancient Chinese aesthetic."
120,奉和圣制天长节赐宰臣歌应制,王维,太阳升兮照万方，开阊阖兮临玉堂，俨冕旒兮垂衣裳。金天净兮丽三光，彤庭曙兮延八荒。德合天兮礼神遍，尽九服兮皆四邻，干降瑞兮坤降珍。,太阳升兮照万方,"Create a serene image with ancient Chinese elements. The picture should feature a vibrant, golden sun rising in the center, casting its warm rays in all directions. Surrounding the sun, there should be a lush, green landscape with blooming cherry blossom trees. In the foreground, position a tranquil, flowing river with clear, blue water. On the riverbank, place a traditional Chinese pavilion with a curved, red roof and intricate, white lattice walls. The pavilion should be adorned with elegant, hanging lanterns. The background should showcase misty mountains in shades of blue and purple, symbolizing tranquility. Ensure that there are no text or watermarks in the image."
121,登楼歌,王维,聊上君兮高楼，飞甍鳞次兮在下。俯十二兮通衢，王畿郁兮千里，山河壮兮咸秦。舍人下兮青宫，亦幸有张伯英草圣兮龙腾虬跃，摆长云兮捩回风。琥珀酒兮雕胡饭，君不御兮日将晚。秋风兮吹衣，时不可兮再得，君何为兮偃蹇。,琥珀酒兮雕胡饭，君不御兮日将晚。,"Generate an image with no text or watermark. The picture should depict a scene inspired by ancient Chinese style. In the foreground, there is a table with a bottle of amber-colored wine and a plate of carved rice. The wine bottle is placed on the left side of the table, while the plate of rice is on the right side. The background should be a serene landscape with mountains, rivers, and a setting sun. The color palette should consist of warm tones, with shades of gold, amber, and earthy colors dominating the scene."
122,双黄鹄歌送别,王维,天路来兮双黄鹄，云上飞兮水上宿，抚翼和鸣整羽族。不得已，忽分飞，家在玉京朝紫微，主人临水送将归。悲笳嘹唳垂舞衣，宾欲散兮复相依。几往返兮极浦，鞍马归兮佳人散，怅离忧兮独含情。,天路来兮双黄鹄,"Create a serene image with no text or watermark. In the center, place two majestic yellow cranes soaring through the sky. Their golden feathers shimmer in the sunlight. Surround them with a picturesque landscape of ancient Chinese architecture, nestled amidst lush green mountains. The buildings should be adorned with traditional red roofs and intricate carvings. The scene should be set during a tranquil sunset, with hues of orange, pink, and purple painting the sky. Ensure that the image captures the essence of ancient Chinese beauty and tranquility."
123,赠徐中书望终南山歌,王维,晚下兮紫微，怅尘事兮多违。驻马兮双树，望青山兮不归。,晚下兮紫微,"Create a serene image with a Chinese ancient style. The picture should depict a tranquil scene with a clear night sky. In the center, position a majestic, purple-colored celestial object resembling the ""紫微"" (Ziwei) constellation. Surround it with twinkling stars and a faint moon. The background should be a picturesque landscape with traditional Chinese architecture, such as pagodas and pavilions, nestled among lush mountains and flowing rivers. Ensure that there are no texts or watermarks in the generated image."
